timestamp,open,high,low,close,volume,quote_volume,trade_count,taker_buy_vol,taker_buy_quote_vol
1672531200000,16537.5,16540.9,16504.0,16527.0,5381.399,88923087.8321,31529,2541.791,42000649.2724
1672534800000,16527.1,16554.3,16524.1,16550.4,3210.826,53098548.7544,19787,1933.859,31982248.929
1672538400000,16550.5,16557.1,16534.8,16542.4,2399.668,39704662.6773,15720,1156.721,19138960.9247
1672542000000,16542.5,16542.5,16515.0,16529.3,3214.48,53120600.934,19341,1430.403,23637732.1621
1672545600000,16529.2,16530.4,16508.8,16517.8,3150.954,52048231.8487,20937,1583.098,26150126.5816
1672549200000,16517.8,16531.1,16508.0,16525.7,3268.293,53976906.1162,18908,1578.995,26079452.1389
1672552800000,16525.6,16545.7,16525.6,16535.3,2726.582,45090264.4477,17606,1340.462,22167277.2472
1672556400000,16535.3,16537.5,16488.0,16519.6,8852.672,146166430.7087,36399,3911.189,64580552.9887
1672560000000,16519.5,16524.9,16502.0,16504.2,3289.761,54320341.5947,21586,1313.228,21683585.4907
1672563600000,16504.3,16536.1,16496.8,16532.7,3948.702,65217230.1976,26147,2127.739,35143996.9467
1672567200000,16532.7,16542.9,16527.3,16542.8,4110.425,67964331.2539,21729,2012.438,33275735.3967
1672570800000,16542.9,16549.8,16535.1,16549.8,3768.388,62340191.561,22386,1939.09,32079075.1769
1672574400000,16549.8,16565.9,16542.9,16553.9,5482.001,90744679.2423,28280,2548.225,42182805.8011
1672578000000,16553.8,16559.8,16530.5,16539.9,4505.256,74527749.1455,24250,1971.139,32606322.8796
1672581600000,16539.9,16549.7,16533.1,16533.1,2448.444,40503002.3382,18363,1175.123,19439837.334
1672585200000,16533.2,16553.1,16524.6,16553.1,3107.183,51385027.6074,19408,1786.176,29541345.6354
1672588800000,16553.0,16579.0,16552.6,16556.0,7482.092,123929105.3393,37350,4177.482,69195765.2063
1672592400000,16556.1,16589.4,16555.5,16573.1,6126.892,101553540.0821,31957,3353.049,55576781.2279
1672596000000,16573.1,16597.0,16573.0,16584.3,4955.635,82199321.9401,26757,2603.403,43182654.5382
1672599600000,16584.3,16615.8,16584.2,16596.1,7406.797,122974267.8525,37463,4065.484,67500264.3241
1672603200000,16596.1,16618.8,16592.0,16593.8,4951.995,82228731.1405,28762,2369.029,39339458.1438
1672606800000,16593.7,16599.7,16584.1,16597.6,3040.626,50451079.8664,21602,1297.005,21520684.9456
1672610400000,16597.6,16605.4,16579.1,16594.4,3633.682,60289616.8169,22001,1871.039,31044201.6138
1672614000000,16594.4,16617.4,16594.4,16610.3,5040.212,83692900.4417,26031,2531.342,42033191.9185
1672617600000,16610.4,16618.4,16572.9,16578.0,5774.202,95811324.3103,31939,2375.994,39425381.538
1672621200000,16578.0,16579.3,16541.2,16556.5,9532.229,157820380.9028,41242,4196.044,69471273.1951
1672624800000,16556.5,16587.1,16547.5,16580.4,3292.203,54553046.5086,18335,1981.152,32829531.0529
1672628400000,16580.4,16700.7,16575.0,16654.6,18043.112,300438253.7872,73808,10745.894,178924679.9725
