timestamp,funding_rate,mark_price
1609459200002,0.00022753,
1609488000006,0.00026336,
1609516800003,0.00034457,
1609545600000,0.0001,
1609574400000,0.00020151,
1609603200006,0.00115471,
1609632000018,0.00124058,
1609660800000,0.00114744,
1609689600002,0.00155006,
1609718400000,0.00164126,
1609747200000,0.00236482,
1609776000000,0.00056137,
1609804800020,0.00088338,
1609833600003,0.00047166,
1609862400003,0.00062904,
1609891200010,0.00127193,
1609920000003,0.00210008,
1609948800000,0.00149253,
1609977600007,0.00100316,
1610006400000,0.00142744,
1610035200004,0.00099841,
1610064000000,0.00213517,
1610092800000,0.00092044,
1610121600000,0.00131892,
1610150400009,0.00062954,
1610179200004,0.00066918,
1610208000000,0.00146942,
1610236800000,0.00145604,
1610265600005,0.00120632,
1610294400000,0.00052988,
1610323200000,0.00086486,
1610352000012,0.00081553,
1610380800000,0.00053444,
1610409600000,0.00033526,
1610438400000,0.00050855,
1610467200008,0.00054945,
1610496000001,0.00014768,
1610524800000,0.0002259,
1610553600003,0.0007053,
1610582400000,0.00078331,
1610611200012,0.00072627,
1610640000000,0.00068503,
1610668800002,0.00055628,
1610697600000,0.00064483,
1610726400004,0.00118185,
1610755200000,0.0001,
1610784000008,0.00032573,
1610812800000,0.00068496,
1610841600009,0.00033109,
1610870400000,0.00030276,
1610899200001,0.0001,
1610928000000,0.00055375,
1610956800004,0.00049321,
1610985600000,0.0010355,
1611014400000,0.0006167,
1611043200005,0.0014009,
1611072000012,0.00158467,
1611100800012,0.00088178,
1611129600001,0.00017967,
1611158400001,0.00016482,
1611187200000,0.00042078,
1611216000000,0.00048357,
1611244800004,0.00026589,
1611273600012,0.0001,
1611302400003,0.0001,
1611331200001,0.0001,
1611360000000,0.0001,
1611388800002,0.00012182,
1611417600000,0.0001,
1611446400001,0.0001,
1611475200011,0.00014368,
1611504000005,0.00041388,
1611532800007,0.0001,
1611561600012,0.00052253,
1611590400000,0.00042414,
1611619200007,0.00013506,
1611648000000,0.0001,
1611676800000,0.0001,
1611705600000,0.0001,
1611734400011,0.0001,
1611763200003,0.0001,
1611792000000,0.0001,
1611820800000,0.0001,
1611849600000,0.00022262,
1611878400009,0.0001,
1611907200000,0.00064803,
1611936000000,0.00166789,
1611964800000,0.00039208,
1611993600000,0.000332,
1612022400000,0.00052428,
1612051200009,0.00054944,
1612080000000,0.00046117,
1612108800000,0.00044234,
1612137600001,0.00013932,
1612166400014,0.00037561,
1612195200000,0.00066848,
1612224000000,0.00036787,
1612252800006,0.00044278,
1612281600000,0.00122181,
1612310400009,0.00077297,
1612339200006,0.00080805,
1612368000006,0.00075287,
1612396800005,0.00029063,
1612425600000,0.00074286,
1612454400011,0.00061936,
1612483200009,0.00056635,
1612512000004,0.00074838,
1612540800000,0.00099154,
1612569600008,0.00034782,
1612598400009,0.00069827,
1612627200000,0.00102371,
1612656000000,0.00155546,
1612684800005,0.00065121,
1612713600001,0.00106206,
1612742400000,0.00059267,
1612771200001,0.00057887,
1612800000000,0.00248993,
1612828800010,0.00131125,
1612857600006,0.00186573,
1612886400007,0.00161159,
1612915200009,0.00124313,
1612944000014,0.0017535,
1612972800005,0.00112397,
1613001600000,0.00076742,
1613030400000,0.0008307,
1613059200000,0.0017411,
1613088000000,0.00128772,
1613116800000,0.0012563,
1613145600000,0.00105533,
1613174400001,0.00139999,
1613203200003,0.00141609,
1613232000000,0.00075946,
1613260800013,0.00085048,
1613289600000,0.00146185,
1613318400008,0.00149489,
1613347200000,0.0011786,
1613376000006,0.00040617,
1613404800000,0.00068133,
1613433600001,0.000996,
1613462400000,0.00123546,
1613491200010,0.00141818,
1613520000005,0.00104066,
1613548800010,0.00093436,
1613577600008,0.00147112,
1613606400012,0.00132249,
1613635200000,0.00154303,
1613664000009,0.00125842,
1613692800010,0.00091255,
1613721600002,0.00084526,
1613750400008,0.00128791,
1613779200000,0.00156318,
1613808000009,0.00116465,
1613836800000,0.00122535,
1613865600007,0.00100357,
1613894400012,0.00099022,
1613923200001,0.0012582,
1613952000006,0.00117049,
1613980800002,0.00091782,
1614009600000,0.00077864,
1614038400000,0.00024947,
1614067200006,0.0002962,
1614096000000,0.00013281,
1614124800012,0.0001,
1614153600016,0.00051791,
