Date,Open,High,Low,Close,Volume
2023-01-01T00:00:00+00:00,16537.5,16618.8,16488.0,16610.3,105502.965
2023-01-02T00:00:00+00:00,16610.4,16799.0,16541.2,16666.0,215161.176
2023-01-03T00:00:00+00:00,16665.9,16774.0,16600.3,16667.2,203070.205
2023-01-04T00:00:00+00:00,16667.3,16984.6,16645.7,16842.1,349747.838
2023-01-05T00:00:00+00:00,16842.2,16872.8,16740.4,16823.8,176369.347
2023-01-06T00:00:00+00:00,16823.8,17030.0,16664.8,16943.8,316973.629
2023-01-07T00:00:00+00:00,16943.9,16973.6,16900.1,16936.5,77973.105
2023-01-08T00:00:00+00:00,16936.5,17181.1,16905.0,17124.7,157717.318
2023-01-09T00:00:00+00:00,17124.6,17387.8,17098.2,17169.7,400277.809
2023-01-10T00:00:00+00:00,17169.6,17485.4,17140.4,17428.8,297320.371
2023-01-11T00:00:00+00:00,17428.8,18013.2,17306.4,17935.7,386277.106
2023-01-12T00:00:00+00:00,17935.6,19120.0,17902.4,18838.0,1040334.76
2023-01-13T00:00:00+00:00,18838.1,19997.8,18711.0,19924.2,806807.8319999999
2023-01-14T00:00:00+00:00,19924.3,21544.0,19882.6,20962.8,1010666.683
2023-01-15T00:00:00+00:00,20962.8,21073.8,20556.0,20882.7,428486.559
2023-01-16T00:00:00+00:00,20882.7,21498.0,20606.6,21188.3,666148.201
2023-01-17T00:00:00+00:00,21188.2,21640.0,20827.8,21130.9,547390.593
2023-01-18T00:00:00+00:00,21130.8,21672.0,20386.0,20680.0,813785.517
2023-01-19T00:00:00+00:00,20680.1,21183.9,20659.9,21068.3,374733.617
2023-01-20T00:00:00+00:00,21068.3,22750.0,20856.4,22661.1,723645.2000000001
2023-01-21T00:00:00+00:00,22661.0,23390.0,22422.0,22781.9,764681.1
2023-01-22T00:00:00+00:00,22781.8,23080.2,22287.0,22704.6,482529.811
2023-01-23T00:00:00+00:00,22704.7,23193.1,22500.0,22913.1,525802.84
2023-01-24T00:00:00+00:00,22913.3,23158.7,22450.0,22627.4,505615.816
2023-01-25T00:00:00+00:00,22627.5,23837.4,22310.5,23060.6,692786.607
2023-01-26T00:00:00+00:00,23060.6,23278.7,22843.8,23001.9,427760.786
2023-01-27T00:00:00+00:00,23001.9,23500.0,22516.6,23068.0,509920.30700000003
2023-01-28T00:00:00+00:00,23068.1,23185.0,22870.8,23015.9,186400.943
2023-01-29T00:00:00+00:00,23016.0,23962.7,22961.5,23740.3,562028.231
2023-01-30T00:00:00+00:00,23740.2,23804.6,22484.2,22819.9,572537.407
2023-01-31T00:00:00+00:00,22819.9,23330.0,22715.3,23119.4,403726.966
2023-02-01T00:00:00+00:00,23119.5,23852.4,22747.0,23730.0,571429.711
2023-02-02T00:00:00+00:00,23730.1,24281.4,23365.0,23493.1,615740.338
2023-02-03T00:00:00+00:00,23493.0,23719.9,23201.0,23424.7,470831.43799999997
2023-02-04T00:00:00+00:00,23424.7,23591.4,23250.0,23322.6,197118.393
2023-02-05T00:00:00+00:00,23322.6,23436.0,22741.0,22929.2,356665.034
2023-02-06T00:00:00+00:00,22929.3,23159.4,22600.0,22757.7,417160.143
2023-02-07T00:00:00+00:00,22757.8,23368.6,22742.4,23234.1,447273.494
2023-02-08T00:00:00+00:00,23234.1,23450.0,22662.9,22955.9,383465.48099999997
2023-02-09T00:00:00+00:00,22955.9,23007.8,21684.7,21793.4,732295.35
2023-02-10T00:00:00+00:00,21793.3,21933.8,21405.0,21618.6,439986.497
2023-02-11T00:00:00+00:00,21618.6,21891.9,21594.4,21851.3,189249.66700000002
2023-02-12T00:00:00+00:00,21851.2,22080.9,21618.0,21771.1,276787.093
2023-02-13T00:00:00+00:00,21771.0,21888.0,21338.0,21766.2,511595.693
2023-02-14T00:00:00+00:00,21766.1,22320.0,21485.2,22187.4,598791.509
2023-02-15T00:00:00+00:00,22187.4,24420.0,22038.5,24332.6,824676.471
2023-02-16T00:00:00+00:00,24332.7,25290.0,23518.0,23526.6,959463.159
2023-02-17T00:00:00+00:00,23526.6,25043.2,23350.0,24581.5,922717.148
2023-02-18T00:00:00+00:00,24581.3,24887.5,24430.6,24636.9,261555.55599999998
2023-02-19T00:00:00+00:00,24636.8,25200.0,24179.4,24265.9,543506.628
2023-02-20T00:00:00+00:00,24265.9,25140.0,23827.0,24849.9,646401.072
2023-02-21T00:00:00+00:00,24849.9,25347.6,24150.0,24443.4,729290.575
2023-02-22T00:00:00+00:00,24443.3,24468.5,23572.0,24171.3,730414.101
2023-02-23T00:00:00+00:00,24171.3,24588.0,23590.0,23928.8,751339.414
2023-02-24T00:00:00+00:00,23928.7,24138.6,22800.0,23175.6,731577.942
2023-02-25T00:00:00+00:00,23175.5,23210.5,22700.0,23146.2,310795.648
2023-02-26T00:00:00+00:00,23146.2,23675.0,23050.0,23545.3,371395.056
2023-02-27T00:00:00+00:00,23545.2,23888.0,23088.0,23480.0,576754.966
2023-02-28T00:00:00+00:00,23480.0,23592.8,23010.0,23129.6,456919.838
