date,open,high,low,close,volume
2018-01-02,39.8503,40.3504,39.6395,40.3415,108967725
2018-01-03,40.4053,40.8748,40.2688,40.3346,125822718
2018-01-04,40.4072,40.6271,40.2982,40.5253,95429834
2018-01-05,40.6193,41.0731,40.5313,40.9818,100756904
2018-01-08,40.8315,41.1271,40.7355,40.8414,87664684
2018-01-09,40.8748,40.9977,40.6115,40.8258,91946799
2018-01-10,40.5535,40.8189,40.5184,40.816,102219304
2018-01-11,40.8848,41.0999,40.863,41.0506,79651710
2018-01-12,41.2617,41.5329,41.1369,41.4671,108171294
2018-01-16,41.6605,42.0124,41.2518,41.2637,126040958
2018-01-17,41.2538,41.9806,40.9997,41.9443,146329613
2018-01-18,42.0084,42.179,41.7459,41.9826,132756725
2018-01-19,41.8305,42.0562,41.5426,41.7961,134418714
2018-01-22,41.5182,41.6329,41.359,41.4515,115559473
2018-01-23,41.5182,42.0249,41.4081,41.4602,138949072
2018-01-24,41.5053,41.5182,40.5634,40.7992,219386817
2018-01-25,40.865,40.9701,39.9349,40.0764,176984450
2018-01-26,40.2787,40.2787,39.8249,40.1648,166920318
2018-01-29,39.8503,39.8503,39.1258,39.3357,215928263
2018-01-30,38.7671,39.1974,38.5707,39.1032,195156543
2018-01-31,39.0773,39.4528,38.9872,39.2123,137808546
2018-02-01,39.151,39.4929,39.0508,39.2907,196095220
2018-02-02,38.8769,39.0607,37.4943,37.5875,367141781
2018-02-05,37.2555,38.3733,36.5308,36.6448,308484529
2018-02-06,36.2616,38.3378,36.0642,38.1808,291401419
2018-02-07,38.1916,38.2653,37.2479,37.3527,219832716
2018-02-08,37.5385,37.7026,36.3137,36.3373,231359366
2018-02-09,36.9394,37.1258,35.3288,36.7823,300239128
2018-02-12,37.2673,38.5363,37.0394,38.2574,258479682
2018-02-13,38.0875,38.7437,38.0167,38.6463,138145899
2018-02-14,38.3359,39.3975,38.3016,39.3575,172163671
2018-02-15,39.923,40.7058,39.7445,40.6801,216529797
2018-02-16,40.5322,41.1085,40.3896,40.5467,170621237
2018-02-20,40.4566,40.975,40.3081,40.4092,144142375
2018-02-21,40.6411,40.9406,40.2099,40.2237,158988887
2018-02-22,40.3974,40.9022,40.376,40.5634,131641793
2018-02-23,40.8354,41.3051,40.8061,41.2716,143674021
2018-02-26,41.4671,42.184,41.4346,42.0849,161009834
2018-02-27,42.1133,42.4434,41.8991,41.9502,165548256
2018-02-28,42.1525,42.4718,41.8726,41.8894,160674762
2018-03-01,41.9856,42.2715,40.6008,41.1527,207538408
2018-03-02,40.6341,41.4553,40.5516,41.4346,163531755
2018-03-05,41.2028,41.7961,41.0387,41.5742,120781478
2018-03-06,41.8374,41.919,41.416,41.5378,101164539
